xml_id,name,default_code,category,product_type,uom,list_price,standard_cost,sale_tax,purchase_tax,can_be_sold,can_be_purchased,rent_ok,subscription,route,rmin,rmax
prod_cook_01,4-Burner Gas Range w/ Oven,EQ-CK-001,cat_equip_cook,storable,Units,8500.0,6100.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_02,6-Burner Gas Range w/ Oven,EQ-CK-002,cat_equip_cook,storable,Units,11200.0,8050.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_03,Heavy-Duty Stockpot Stove,EQ-CK-003,cat_equip_cook,storable,Units,4200.0,2900.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_04,Commercial Wok Range (2-ring),EQ-CK-004,cat_equip_cook,storable,Units,6800.0,4700.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_05,Induction Wok Cooker 5kW (Advanced Induction Series),EQ-CK-005,cat_equip_cook,storable,Units,9800.0,6900.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_06,Induction Cooktop Twin 8kW,EQ-CK-006,cat_equip_cook,storable,Units,13500.0,9600.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_07,Salamander Grill,EQ-CK-007,cat_equip_cook,storable,Units,3900.0,2600.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_08,Char-Grill / Gas Griddle 900mm,EQ-CK-008,cat_equip_cook,storable,Units,5600.0,3800.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_09,Deep Fryer Double-Tank 2x12L,EQ-CK-009,cat_equip_cook,storable,Units,4300.0,2850.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_10,Convection Oven 6-Tray,EQ-CK-010,cat_equip_cook,storable,Units,12800.0,8900.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_11,Combi Steam Oven 10-Grid (Cook & Chill),EQ-CK-011,cat_equip_cook,storable,Units,42000.0,31000.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_12,Tilting Bratt Pan 80L,EQ-CK-012,cat_equip_cook,storable,Units,28500.0,20500.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_13,Rice Cooker Gas 10L,EQ-CK-013,cat_equip_cook,storable,Units,2100.0,1350.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_14,Pasta Cooker Electric,EQ-CK-014,cat_equip_cook,storable,Units,6200.0,4300.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_cook_15,Smokeless BBQ Grill (Brand AI Series),EQ-CK-015,cat_equip_cook,storable,Units,7400.0,5100.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_ref_01,Upright Chiller 2-Door 1200L,EQ-RF-001,cat_equip_refrig,storable,Units,8900.0,6200.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_ref_02,Upright Freezer 2-Door 1200L,EQ-RF-002,cat_equip_refrig,storable,Units,9800.0,6900.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_ref_03,Undercounter Chiller 3-Door,EQ-RF-003,cat_equip_refrig,storable,Units,6400.0,4400.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_ref_04,Blast Chiller 5-Tray (Cook & Chill),EQ-RF-004,cat_equip_refrig,storable,Units,26500.0,19000.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_ref_05,Display Chiller Curved Glass,EQ-RF-005,cat_equip_refrig,storable,Units,7200.0,5000.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_ref_06,Walk-in Cold Room Panel Set 3x3m,EQ-RF-006,cat_equip_refrig,storable,Units,32000.0,23000.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_ref_07,Saladette Prep Fridge 1.8m,EQ-RF-007,cat_equip_refrig,storable,Units,5800.0,4000.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_ref_08,Chest Freezer 500L,EQ-RF-008,cat_equip_refrig,storable,Units,3200.0,2100.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_ref_09,Ice Maker 120kg/day,EQ-RF-009,cat_equip_refrig,storable,Units,9400.0,6700.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_ref_10,Beverage Cooler 2-Door,EQ-RF-010,cat_equip_refrig,storable,Units,4100.0,2750.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_prep_01,Planetary Mixer 20L,EQ-PR-001,cat_equip_prep,storable,Units,5200.0,3500.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_prep_02,Planetary Mixer 60L,EQ-PR-002,cat_equip_prep,storable,Units,14800.0,10500.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_prep_03,Dough Sheeter 520mm,EQ-PR-003,cat_equip_prep,storable,Units,9600.0,6800.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_prep_04,Meat Mincer Heavy-Duty,EQ-PR-004,cat_equip_prep,storable,Units,4300.0,2900.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_prep_05,Vegetable Cutter / Slicer,EQ-PR-005,cat_equip_prep,storable,Units,3800.0,2500.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_prep_06,Vacuum Packing Machine,EQ-PR-006,cat_equip_prep,storable,Units,5900.0,4100.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_prep_07,Bowl Chopper 25L,EQ-PR-007,cat_equip_prep,storable,Units,18500.0,13000.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_prep_08,Bench Top Spiral Mixer 10kg,EQ-PR-008,cat_equip_prep,storable,Units,6700.0,4600.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_prep_09,Food Processor 5L,EQ-PR-009,cat_equip_prep,storable,Units,2800.0,1800.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_prep_10,Bone Saw Machine,EQ-PR-010,cat_equip_prep,storable,Units,4900.0,3300.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_dish_01,Undercounter Dishwasher,EQ-DW-001,cat_equip_dish,storable,Units,6800.0,4700.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_dish_02,Hood-Type Pass-Through Dishwasher,EQ-DW-002,cat_equip_dish,storable,Units,14500.0,10200.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_dish_03,Rack-Conveyor Dishwasher,EQ-DW-003,cat_equip_dish,storable,Units,52000.0,38000.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_dish_04,Flight-Type Dishwasher (Hotel),EQ-DW-004,cat_equip_dish,storable,Units,98000.0,72000.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_dish_05,Glasswasher Compact,EQ-DW-005,cat_equip_dish,storable,Units,4200.0,2800.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_dish_06,Utensil/Pot Washer,EQ-DW-006,cat_equip_dish,storable,Units,18900.0,13500.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_dish_07,Water Softener for Dishwasher,EQ-DW-007,cat_equip_dish,storable,Units,2600.0,1700.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_dish_08,Dishwasher Dosing Pump Kit,EQ-DW-008,cat_equip_dish,storable,Units,890.0,520.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,,
prod_acc_01,Gas Regulator High-Pressure,EQ-AC-001,cat_equip_acc,storable,Units,145.0,85.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,10,50
prod_acc_02,SS Gas Hose 1.5m,EQ-AC-002,cat_equip_acc,storable,Units,65.0,32.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,10,50
prod_acc_03,Dishwasher Wash Arm,EQ-AC-003,cat_equip_acc,storable,Units,220.0,130.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,10,50
prod_acc_04,Dishwasher Rinse Jet Set,EQ-AC-004,cat_equip_acc,storable,Units,95.0,48.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,10,50
prod_acc_05,Thermostat Replacement,EQ-AC-005,cat_equip_acc,storable,Units,180.0,100.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,10,50
prod_acc_06,Door Gasket (Chiller),EQ-AC-006,cat_equip_acc,storable,Units,120.0,60.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,10,50
prod_acc_07,Compressor Relay,EQ-AC-007,cat_equip_acc,storable,Units,75.0,38.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,10,50
prod_acc_08,Burner Nozzle Set,EQ-AC-008,cat_equip_acc,storable,Units,60.0,28.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,10,50
prod_acc_09,GN Pan 1/1 SS,EQ-AC-009,cat_equip_acc,storable,Units,45.0,22.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,10,50
prod_acc_10,Dish Rack Glass 25-cell,EQ-AC-010,cat_equip_acc,storable,Units,85.0,45.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,10,50
prod_acc_11,Grease Filter Baffle SS,EQ-AC-011,cat_equip_acc,storable,Units,110.0,55.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,10,50
prod_acc_12,Drain Pump Dishwasher,EQ-AC-012,cat_equip_acc,storable,Units,260.0,150.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,10,50
prod_raw_01,SS304 Sheet 1.2mm 1219x2438,FAB-RAW-001,cat_fab_raw,storable,Units,320.0,210.0,tax_sst_s10,tax_pur_s10,yes,yes,no,no,Buy,20,100
